timestamp,head_tilt,attention,feedback,keypoints
2025-04-19 21:32:04,0.0,True,[],"[[0.5673644542694092, 0.5212789177894592, 0.5932377576828003], [0.5456220507621765, 0.5515312552452087, 0.5468212962150574], [0.5415825843811035, 0.49345895648002625, 0.38713523745536804], [0.5582861304283142, 0.5804502367973328, 0.4223790764808655], [0.560269832611084, 0.45151054859161377, 0.5714994668960571], [0.6470304727554321, 0.6150258183479309, 0.48491543531417847], [0.6703490018844604, 0.4353630840778351, 0.3529253900051117], [0.4829893410205841, 0.6283901929855347, 0.29041269421577454], [0.454485684633255, 0.4326031506061554, 0.5635604858398438], [0.3428172469139099, 0.5891242027282715, 0.20916983485221863], [0.3633281886577606, 0.5169380903244019, 0.25510722398757935], [0.929957926273346, 0.6029819250106812, 0.3149511218070984], [0.9325866103172302, 0.44209393858909607, 0.3706585764884949], [0.904629111289978, 0.7317882776260376, 0.3373301923274994], [0.937425971031189, 0.3064787983894348, 0.5315946340560913], [0.8619446158409119, 0.5517962574958801, 0.05751597881317139], [0.935298502445221, 0.5257470607757568, 0.1282215118408203]]"
2025-04-19 21:32:05,-179.68988452444714,False,"[""Excessive head tilt""]","[[0.5636022090911865, 0.5172452330589294, 0.5404202342033386], [0.5417911410331726, 0.5432820320129395, 0.48085081577301025], [0.5415077209472656, 0.490918904542923, 0.5766041874885559], [0.5667433738708496, 0.5864434242248535, 0.5347932577133179], [0.5614655613899231, 0.4545831084251404, 0.5681922435760498], [0.6512141227722168, 0.6224116683006287, 0.32782647013664246], [0.667610228061676, 0.42970335483551025, 0.36054277420043945], [0.48748713731765747, 0.6353872418403625, 0.5110577344894409], [0.44218525290489197, 0.44287165999412537, 0.5766788721084595], [0.367419958114624, 0.5992745757102966, 0.21213310956954956], [0.35968974232673645, 0.5128812789916992, 0.24472759664058685], [0.930426836013794, 0.6237042546272278, 0.2682117819786072], [0.9352834820747375, 0.402254194021225, 0.32857632637023926], [0.9053092002868652, 0.7283031344413757, 0.282130628824234], [0.9350273013114929, 0.3000791668891907, 0.529852032661438], [0.7113683223724365, 0.5346276164054871, 0.061541203409433365], [0.889917254447937, 0.5621323585510254, 0.14378218352794647]]"
2025-04-19 21:32:05,179.55611426261308,False,"[""Excessive head tilt""]","[[0.5641818642616272, 0.5216434597969055, 0.5044612884521484], [0.5367270708084106, 0.5572987198829651, 0.6366506814956665], [0.5372292995452881, 0.49247345328330994, 0.6026121377944946], [0.5594703555107117, 0.5948564410209656, 0.5809923410415649], [0.5615909099578857, 0.45614758133888245, 0.5670660734176636], [0.6519414186477661, 0.627216100692749, 0.40310296416282654], [0.6684935092926025, 0.4338289201259613, 0.3828466534614563], [0.4923672676086426, 0.6346492767333984, 0.4582705497741699], [0.44829270243644714, 0.44647687673568726, 0.5408374071121216], [0.3707410991191864, 0.603442370891571, 0.23150579631328583], [0.36897316575050354, 0.5096814036369324, 0.20222190022468567], [0.9108739495277405, 0.6257977485656738, 0.2643526792526245], [0.9131875038146973, 0.4248921871185303, 0.3660980463027954], [0.9042205214500427, 0.7346001863479614, 0.2817021310329437], [0.9331421852111816, 0.30059459805488586, 0.5703363418579102], [0.8346771597862244, 0.53387850522995, 0.059569817036390305], [0.8846218585968018, 0.5650684237480164, 0.14498408138751984]]"
2025-04-19 21:32:05,-178.33758342827846,False,"[""Excessive head tilt""]","[[0.5797348022460938, 0.5246401429176331, 0.5200057029724121], [0.5510801076889038, 0.555734395980835, 0.6538845300674438], [0.5493457317352295, 0.4959752857685089, 0.5874505043029785], [0.5736137628555298, 0.5944608449935913, 0.5960322618484497], [0.571841835975647, 0.45735156536102295, 0.5438047647476196], [0.6806879639625549, 0.6400070190429688, 0.2084982991218567], [0.7002525329589844, 0.4273967146873474, 0.21543733775615692], [0.4921075105667114, 0.6336211562156677, 0.3531956374645233], [0.4518165588378906, 0.447185218334198, 0.4438060522079468], [0.4065868556499481, 0.6057597398757935, 0.27236777544021606], [0.3808051645755768, 0.5057965517044067, 0.260781466960907], [0.9279676675796509, 0.66483473777771, 0.2777552902698517], [0.9364102482795715, 0.4054381549358368, 0.34558379650115967], [0.9116345643997192, 0.7319228053092957, 0.27701741456985474], [0.9389650821685791, 0.30464914441108704, 0.559680700302124], [0.8008272647857666, 0.5358571410179138, 0.04425382614135742], [0.9390543103218079, 0.5586143136024475, 0.14597123861312866]]"
2025-04-19 21:32:06,-177.3641248319575,False,"[""Excessive head tilt""]","[[0.5833675265312195, 0.5324954986572266, 0.5440434217453003], [0.5600503087043762, 0.5618895292282104, 0.6531702280044556], [0.5572176575660706, 0.5003598928451538, 0.49229347705841064], [0.5973832607269287, 0.6037601828575134, 0.5205065011978149], [0.5880100727081299, 0.45854485034942627, 0.5401355028152466], [0.7322387099266052, 0.6552120447158813, 0.0791407972574234], [0.8696157932281494, 0.3964785933494568, 0.29786643385887146], [0.4883629381656647, 0.6401858329772949, 0.4638206660747528], [0.45224297046661377, 0.4480952024459839, 0.4533986747264862], [0.38739463686943054, 0.6032093167304993, 0.3131124973297119], [0.38200512528419495, 0.5015931129455566, 0.29910096526145935], [0.9579656720161438, 0.624233067035675, 0.18268881738185883], [0.9595924019813538, 0.40198642015457153, 0.2811187207698822], [0.9322031736373901, 0.747521162033081, 0.21533770859241486], [0.9553238153457642, 0.29835301637649536, 0.46550503373146057], [0.3335208594799042, 0.5806413292884827, 0.2549113631248474], [0.9729083776473999, 0.5154016613960266, 0.17946137487888336]]"
2025-04-19 21:32:06,-174.16771279741462,False,"[""Excessive head tilt""]","[[0.5829731822013855, 0.5280738472938538, 0.4893156886100769], [0.555242121219635, 0.5562784671783447, 0.6857717037200928], [0.5489900708198547, 0.49507126212120056, 0.6674975156784058], [0.5904661417007446, 0.5961556434631348, 0.41972872614860535], [0.5810543894767761, 0.45039132237434387, 0.47536593675613403], [0.6915165185928345, 0.6462076306343079, 0.10206427425146103], [0.7075906991958618, 0.4166521430015564, 0.10709955543279648], [0.4838242530822754, 0.6347191333770752, 0.37164926528930664], [0.44375118613243103, 0.4405962824821472, 0.43592432141304016], [0.4016377329826355, 0.6012147068977356, 0.23167744278907776], [0.3684508204460144, 0.4966738820075989, 0.24730649590492249], [0.9388174414634705, 0.6069371700286865, 0.1619688868522644], [0.9551429748535156, 0.4012331962585449, 0.27550292015075684], [0.9154963493347168, 0.7313617467880249, 0.16947123408317566], [0.9465001225471497, 0.3009577691555023, 0.4713897407054901], [0.7117064595222473, 0.5302550792694092, 0.05326414480805397], [0.7071816325187683, 0.5039383769035339, 0.0850338563323021]]"
2025-04-19 21:32:07,0.0,True,[],"[[0.5982946753501892, 0.5312721729278564, 0.46936237812042236], [0.567121684551239, 0.5614398717880249, 0.5963790416717529], [0.5702604055404663, 0.50025874376297, 0.39726391434669495], [0.5939396619796753, 0.6011872291564941, 0.5073506832122803], [0.5959898233413696, 0.4519268572330475, 0.4842836558818817], [0.8855788707733154, 0.6981441974639893, 0.39699169993400574], [0.881859302520752, 0.403288871049881, 0.3329569101333618], [0.5011868476867676, 0.6352643370628357, 0.1505546271800995], [0.45014700293540955, 0.4463382959365845, 0.17062070965766907], [0.5434731841087341, 0.612784743309021, 0.16796721518039703], [0.38113123178482056, 0.506743848323822, 0.1987171769142151], [0.5973972082138062, 0.5582103729248047, 0.09979921579360962], [0.9603445529937744, 0.4050132930278778, 0.22642973065376282], [0.9277859926223755, 0.7296280860900879, 0.19004079699516296], [0.9563160538673401, 0.2937173843383789, 0.4567441940307617], [0.5591049790382385, 0.6064144968986511, 0.1388365775346756], [0.3778344690799713, 0.5123119950294495, 0.215622216463089]]"
2025-04-19 21:32:07,-178.0559484994322,False,"[""Excessive head tilt""]","[[0.5584131479263306, 0.5239279866218567, 0.5296201705932617], [0.5403990149497986, 0.5526682138442993, 0.667025089263916], [0.5385093092918396, 0.4969955086708069, 0.588620662689209], [0.576492965221405, 0.5873218774795532, 0.5385825634002686], [0.5823515057563782, 0.4528658390045166, 0.3986513316631317], [0.6848440170288086, 0.6253781318664551, 0.15312106907367706], [0.7056128978729248, 0.43027263879776, 0.1532129943370819], [0.4951000213623047, 0.6294416785240173, 0.2582026422023773], [0.4529707431793213, 0.4334471821784973, 0.27605223655700684], [0.5015637874603271, 0.6116738319396973, 0.20870888233184814], [0.5308013558387756, 0.5557613372802734, 0.04901662468910217], [0.5934287905693054, 0.5609551072120667, 0.15139353275299072], [0.9322160482406616, 0.4371790587902069, 0.2913326919078827], [0.9277928471565247, 0.731391966342926, 0.2243170440196991], [0.9561660885810852, 0.29235655069351196, 0.5069729089736938], [0.7026868462562561, 0.5392196774482727, 0.0805315226316452], [0.7183132767677307, 0.5160432457923889, 0.1641024798154831]]"
2025-04-19 21:32:08,-178.02596575474843,False,"[""Excessive head tilt""]","[[0.5608898997306824, 0.5303844809532166, 0.49094873666763306], [0.5457225441932678, 0.556613028049469, 0.5854142904281616], [0.543839156627655, 0.5019698739051819, 0.5357412099838257], [0.5776662230491638, 0.5890578627586365, 0.5417743921279907], [0.5821167230606079, 0.4588884115219116, 0.4515574872493744], [0.678783118724823, 0.6295648813247681, 0.21298526227474213], [0.684722363948822, 0.42868107557296753, 0.16070304811000824], [0.5033751726150513, 0.635653018951416, 0.2690372169017792], [0.5909548997879028, 0.4434794485569, 0.10556572675704956], [0.5134247541427612, 0.6122449636459351, 0.23153547942638397], [0.5308723449707031, 0.5279327630996704, 0.055665381252765656], [0.5918258428573608, 0.5638741850852966, 0.19303397834300995], [0.9110597968101501, 0.4428296387195587, 0.29953300952911377], [0.9181937575340271, 0.7277092337608337, 0.2265089750289917], [0.9531406164169312, 0.2954893112182617, 0.5257479548454285], [0.7103773951530457, 0.529425859451294, 0.09261200577020645], [0.7193767428398132, 0.5168007612228394, 0.16608324646949768]]"
2025-04-19 21:32:08,-177.4043606066495,False,"[""Excessive head tilt""]","[[0.5587412714958191, 0.5247100591659546, 0.4594327211380005], [0.5425987243652344, 0.5534131526947021, 0.620765209197998], [0.5400540232658386, 0.49728021025657654, 0.5693796277046204], [0.5783213376998901, 0.5892812609672546, 0.4717307388782501], [0.5840758681297302, 0.45275336503982544, 0.4140513241291046], [0.6664404273033142, 0.6192997097969055, 0.13268530368804932], [0.6893888711929321, 0.43146511912345886, 0.1083906963467598], [0.4948398768901825, 0.6282898187637329, 0.25114724040031433], [0.5941091179847717, 0.4463466703891754, 0.11431887745857239], [0.5115559697151184, 0.6179544925689697, 0.29175040125846863], [0.37797409296035767, 0.49792465567588806, 0.2025565654039383], [0.7334467172622681, 0.5839415788650513, 0.052024956792593], [0.9324206709861755, 0.43498939275741577, 0.19774062931537628], [0.7562412023544312, 0.5651251673698425, 0.0835583433508873], [0.9573607444763184, 0.3006521165370941, 0.3659457564353943], [0.7350900173187256, 0.5259020924568176, 0.10566306114196777], [0.7230798602104187, 0.5110415816307068, 0.16571171581745148]]"
